City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,azul,-36.777,-59.8585,284.98,70,0,2.8,AR,1733817454
218,diebougou,10.9667,-3.25,297.85,21,73,2.17,BF,1733817454
219,monchegorsk,67.9397,32.8739,274.13,99,100,2.72,RU,1733817454
220,viqueque,-8.8673,126.3658,299.41,87,100,1.95,TL,1733817454
221,thinadhoo,0.5333,72.9333,300.52,73,92,6.59,MV,1733817455
222,uthal,25.8072,66.6219,297.28,11,9,1.97,PK,1733817407
223,alice springs,-23.7,133.8833,308.9,28,20,6.69,AU,1733817455
224,kudat,6.8837,116.8477,304.11,79,20,3.6,MY,1733817455
225,koryazhma,61.3143,47.1691,269.73,92,100,4.3,RU,1733817455
226,olonkinbyen,70.9221,-8.7187,267.32,90,100,2.04,SJ,1733817455
227,gobabis,-22.45,18.9667,305.56,23,56,6.0,NA,1733817456
228,green river,41.5286,-109.4662,264.91,76,9,1.34,US,1733817456
229,dhuusamarreeb,5.535,46.3861,303.36,36,7,7.95,SO,1733817456
230,yeppoon,-23.1333,150.7333,299.83,70,66,6.17,AU,1733817456
231,isola di capo rizzuto,38.96,17.0933,286.96,68,3,5.6,IT,1733817456
232,huarmey,-10.0681,-78.1522,292.01,90,89,2.25,PE,1733817456
233,acarau,-2.8856,-40.12,299.37,76,42,7.34,BR,1733817457
234,bonthe,7.5264,-12.505,298.47,78,52,2.96,SL,1733817457
235,ga-kgapane,-23.6333,30.2167,306.94,35,41,1.62,ZA,1733817457
236,al hazm,16.1641,44.7769,294.7,25,0,1.48,YE,1733817457
237,gamba,-2.65,10.0,301.04,76,24,0.86,GA,1733817457
238,langepas,61.2544,75.2124,263.39,91,100,5.91,RU,1733817457
239,bayanhongor,46.7167,100.1167,256.83,84,100,0.45,MN,1733817457
240,al bawiti,28.3492,28.8659,291.63,30,70,2.29,EG,1733817458
241,inirida,3.8653,-67.9239,295.44,96,5,0.13,CO,1733817458
242,kiunga,-6.1219,141.2906,300.3,89,100,0.34,PG,1733817458
243,san clemente del tuyu,-36.3569,-56.7235,290.31,79,4,2.68,AR,1733817435
244,sao joao da barra,-21.6403,-41.0511,296.25,95,65,3.49,BR,1733817458
245,barra dos coqueiros,-10.9089,-37.0386,299.16,73,20,2.57,BR,1733817458
246,cimin,39.7101,39.7021,275.95,90,100,0.82,TR,1733817459
247,axim,4.8699,-2.2405,300.34,75,8,0.14,GH,1733817459
248,novodvinsk,64.4165,40.8122,272.01,88,100,4.56,RU,1733817459
249,jutai,-5.1833,-68.9,295.18,100,100,0.29,BR,1733817459
250,konarka,19.9,86.1167,301.35,57,79,2.81,IN,1733817459
251,moroni,-11.7022,43.2551,301.27,77,5,2.44,KM,1733817459
252,nynashamn,58.9034,17.9479,272.74,73,22,5.62,SE,1733817459
253,hakha,22.65,93.6167,294.8,33,14,0.94,MM,1733817460
254,sretensk,52.2453,117.7093,252.91,97,7,1.29,RU,1733817460
255,gisborne,-38.6533,178.0042,290.43,76,100,1.1,NZ,1733817460
256,khandyga,62.6667,135.6,242.12,100,93,0.83,RU,1733817460
257,happy valley-goose bay,53.3168,-60.3315,256.32,78,0,5.14,CA,1733817460
258,vadso,70.0744,29.7487,275.24,100,75,3.6,NO,1733817460
259,floro,61.5996,5.0328,278.13,75,75,4.63,NO,1733817461
260,rawson,-43.3002,-65.1023,286.31,76,0,3.09,AR,1733817461
261,nehe,48.4833,124.8333,260.93,82,57,3.73,CN,1733817461
262,rio gallegos,-51.6226,-69.2181,282.18,76,0,3.6,AR,1733817461
263,hasaki,35.7333,140.8333,284.41,50,12,1.89,JP,1733817461
264,sitka,57.0531,-135.33,281.09,66,100,8.23,US,1733817461
265,kapa'a,22.0752,-159.319,297.33,83,20,5.14,US,1733817462
266,buka,40.8108,69.1986,274.26,30,13,1.52,UZ,1733817462
267,namtsy,62.7161,129.6658,242.29,100,95,1.32,RU,1733817462
268,talnakh,69.4865,88.3972,260.9,95,100,5.77,RU,1733817462
269,ayabaca,-4.6398,-79.7149,281.35,88,25,1.14,PE,1733817462
270,plettenberg bay,-34.0527,23.3716,298.51,44,93,2.72,ZA,1733817462
271,port clinton,41.512,-82.9377,279.25,92,20,3.6,US,1733817462
272,sukhodol,53.9006,51.2117,270.03,71,100,5.62,RU,1733817378
273,inarajan village,13.2736,144.7484,301.69,85,87,5.46,GU,1733817463
274,san antonio oeste,-40.7319,-64.9477,288.03,72,0,3.13,AR,1733817463
275,vuktyl,63.8567,57.3094,264.15,95,100,4.52,RU,1733817463
276,jesus gomez portugal,22.0,-102.3,286.04,64,0,0.81,MX,1733817463
277,geraldton,-28.7667,114.6,304.38,48,75,10.29,AU,1733817463
278,ixtapa,20.7,-105.2,294.94,85,3,0.45,MX,1733817463
279,forster,-32.1667,152.5167,295.58,82,100,3.52,AU,1733817464
280,launceston,-41.45,147.1667,293.95,40,75,5.14,AU,1733817464
281,at taj,24.2049,23.2857,292.08,22,0,1.38,LY,1733817464
282,sao joao del rei,-21.1356,-44.2617,291.62,96,100,1.15,BR,1733817464
283,kavaratti,10.5669,72.642,300.82,72,67,4.96,IN,1733817464
284,ivdel',60.6911,60.4206,267.02,73,100,4.02,RU,1733817464
285,mount pearl,47.5166,-52.7813,272.12,76,40,12.86,CA,1733817465
286,egilsstadir,65.2653,-14.3948,275.1,60,0,3.09,IS,1733817465
287,malango,-2.9627,119.9001,296.73,94,99,0.37,ID,1733817465
288,aswan,24.0934,32.907,291.76,34,0,4.12,EG,1733817465
289,maragogi,-9.0122,-35.2225,296.98,73,4,2.77,BR,1733817465
290,dalai,45.5,124.3,264.21,87,98,3.52,CN,1733817465
291,khash,28.2211,61.2158,288.37,9,12,1.44,IR,1733817465
292,vilyuchinsk,52.9306,158.4028,267.3,82,100,3.69,RU,1733817466
293,ulsteinvik,62.3432,5.8487,279.22,83,55,6.15,NO,1733817466
294,darwin,-12.4611,130.8418,303.65,70,75,5.14,AU,1733817466
295,atbasar,51.8,68.3333,257.02,92,55,5.11,KZ,1733817466
296,karratha,-20.7377,116.8463,306.35,55,34,10.03,AU,1733817466
297,kichmengskiy gorodok,59.9816,45.7854,269.27,91,100,4.23,RU,1733817466
298,hammerfest,70.6634,23.6821,277.4,87,75,11.32,NO,1733817466
299,faya-largeau,17.9257,19.1043,295.09,20,0,3.09,TD,1733817467
300,magadan,59.5667,150.8,257.84,79,94,4.58,RU,1733817467
301,tshikapa,-6.4167,20.8,300.13,73,87,1.49,CD,1733817467
